Name,Codename,Cores,Brand,Socket,Process,Clock,Multi,Voltage,Cache L1/L2/L3,TDP,Released
A8-3800,Llano,4-Core,AMD,FM1,32 nm,2400 MHz,24.0x,1.4125 V,128K / 1024K / 0K,65W,Jun-11
A8-3820,Llano,4-Core,AMD,FM1,32 nm,2500 MHz,25.0x,1.4125 V,128K / 1024K / 0K,65W,Dec-11
A8-3850,Llano,4-Core,AMD,FM1,32 nm,2900 MHz,29.0x,1.4125 V,128K / 1024K / 0K,100W,Jun-11
A8-3870K,Llano,4-Core,AMD,FM1,32 nm,3000 MHz,30.0x,1.4125 V,128K / 1024K / 0K,100W,Dec-11
A8-5500,Trinity,4-Core,AMD,FM2,32 nm,3200 MHz,32.0x,1.475 V,128K / 1024K / 0K,65W,Oct-12
A8-5500B,Trinity,4-Core,AMD,FM2,32 nm,3200 MHz,32.0x,1.475 V,128K / 1024K / 0K,65W,Oct-12
A8-5600K,Trinity,4-Core,AMD,FM2,32 nm,3600 MHz,36.0x,1.475 V,128K / 1024K / 0K,100W,Oct-12
A8-6500,Richland,4-Core,AMD,FM2,32 nm,3500 MHz,35.0x,1.475 V,128K / 1024K / 0K,65W,Jun-13
A8-6600K,Richland,4-Core,AMD,FM2,32 nm,3900 MHz,39.0x,1.475 V,128K / 1024K / 0K,100W,Jun-13
Athlon 1000,Thunderbird C,1-Core,AMD,A,180 nm,1000 MHz,7.5x,1.75 V,128K / 256K / 0K,54W,Oct-00
Athlon 1000,Thunderbird B,1-Core,AMD,A,180 nm,1000 MHz,10.0x,1.75 V,128K / 256K / 0K,54W,Jun-00
Athlon 1100,Thunderbird B,1-Core,AMD,A,180 nm,1100 MHz,11.0x,1.75 V,128K / 256K / 0K,60W,Aug-00
Athlon 1133,Thunderbird C,1-Core,AMD,A,180 nm,1133 MHz,8.5x,1.75 V,128K / 256K / 0K,63W,Oct-00
Athlon 1200,Thunderbird C,1-Core,AMD,A,180 nm,1200 MHz,9.0x,1.75 V,128K / 256K / 0K,66W,Oct-00
Athlon 1200,Thunderbird B,1-Core,AMD,A,180 nm,1200 MHz,12.0x,1.75 V,128K / 256K / 0K,66W,Oct-00
Athlon 1300,Thunderbird B,1-Core,AMD,A,180 nm,1300 MHz,13.0x,1.75 V,128K / 256K / 0K,68W,Mar-01
Athlon 1333,Thunderbird C,1-Core,AMD,A,180 nm,1333 MHz,10.0x,1.75 V,128K / 256K / 0K,70W,Mar-01
Athlon 1400,Thunderbird C,1-Core,AMD,A,180 nm,1400 MHz,10.5x,1.75 V,128K / 256K / 0K,72W,Jun-01
Athlon 1400,Thunderbird B,1-Core,AMD,A,180 nm,1400 MHz,14.0x,1.75 V,128K / 256K / 0K,72W,Jun-01
Athlon 600,Thunderbird,1-Core,AMD,A,180 nm,600 MHz,6.0x,1.75 V,128K / 256K / 0K,38W,Jun-00
Athlon 64 1500+,Venice,1-Core,AMD,754,90 nm,1000 MHz,5.0x,0.9 V,128K / 512K / 0K,9W,Nov-05
Athlon 64 2000+,Lima,1-Core,AMD,AM2,65 nm,1000 MHz,5.0x,0.9 V,128K / 512K / 0K,8W,Jun-08
Athlon 64 2600+,Lima,1-Core,AMD,AM2,65 nm,1600 MHz,8.0x,1.1 V,128K / 512K / 0K,15W,Jan-08
Athlon 64 2650e,Lima,1-Core,AMD,AM2,65 nm,1600 MHz,8.0x,1.35 V,128K / 512K / 0K,15W,Jan-09
Athlon 64 2800+,NewCastle,1-Core,AMD,754,130 nm,1800 MHz,9.0x,1.5 V,128K / 512K / 0K,89W,Apr-04
Athlon 64 2800+,Clawhammer,1-Core,AMD,754,130 nm,1800 MHz,9.0x,1.5 V,128K / 512K / 0K,89W,Apr-04
Athlon 64 3000+,Clawhammer,1-Core,AMD,754,130 nm,2000 MHz,10.0x,1.5 V,128K / 512K / 0K,89W,Dec-03
Athlon 64 3000+,Venice,1-Core,AMD,754,90 nm,2000 MHz,10.0x,1.35 V,128K / 512K / 0K,51W,Jan-01
Athlon 64 3000+,NewCastle,1-Core,AMD,939,130 nm,1800 MHz,9.0x,1.5 V,128K / 512K / 0K,89W,Apr-04
Athlon 64 3000+,Venice,1-Core,AMD,939,90 nm,1800 MHz,9.0x,1.4 V,128K / 512K / 0K,67W,Apr-05
Athlon 64 3000+,Winchester,1-Core,AMD,939,90 nm,1800 MHz,9.0x,1.4 V,128K / 512K / 0K,67W,Oct-04
Athlon 64 3000+,NewCastle,1-Core,AMD,754,130 nm,2000 MHz,10.0x,1.5 V,128K / 512K / 0K,89W,Apr-04
Athlon 64 3000+,Venice,1-Core,AMD,754,90 nm,2000 MHz,10.0x,1.4 V,128K / 512K / 0K,51W,Jan-01
Athlon 64 3000+,Orleans,1-Core,AMD,AM2,90 nm,1800 MHz,9.0x,1.4 V,128K / 512K / 0K,62W,May-06
Athlon 64 3200+,Clawhammer,1-Core,AMD,754,130 nm,2200 MHz,11.0x,1.5 V,128K / 512K / 0K,89W,Jan-01
Athlon 64 3200+,Manchester,1-Core,AMD,939,90 nm,2000 MHz,10.0x,1.35 V,128K / 512K / 0K,67W,May-05
Athlon 64 3200+,Venice,1-Core,AMD,939,90 nm,2000 MHz,10.0x,1.4 V,128K / 512K / 0K,67W,Apr-05
Athlon 64 3200+,Winchester,1-Core,AMD,939,90 nm,2000 MHz,10.0x,1.4 V,128K / 512K / 0K,67W,Oct-04
Athlon 64 3200+,NewCastle,1-Core,AMD,939,130 nm,2000 MHz,10.0x,1.5 V,128K / 512K / 0K,89W,Apr-04
Athlon 64 3200+,Clawhammer,1-Core,AMD,754,130 nm,2000 MHz,10.0x,1.5 V,128K / 1024K / 0K,89W,Sep-03
Athlon 64 3200+,NewCastle,1-Core,AMD,754,130 nm,2200 MHz,11.0x,1.5 V,128K / 512K / 0K,89W,Apr-04
Athlon 64 3200+,Lima,1-Core,AMD,AM2,65 nm,2000 MHz,10.0x,1.35 V,128K / 512K / 0K,45W,Feb-07
Athlon 64 3200+,Venice,1-Core,AMD,754,90 nm,2200 MHz,11.0x,1.4 V,128K / 512K / 0K,59W,Jan-01
Athlon 64 3200+,Orleans,1-Core,AMD,AM2,90 nm,2000 MHz,10.0x,1.4 V,128K / 512K / 0K,62W,May-06
Athlon 64 3300+,NewCastle,1-Core,AMD,754,130 nm,2400 MHz,12.0x,1.5 V,128K / 256K / 0K,89W,Apr-04
Athlon 64 3400+,Clawhammer,1-Core,AMD,754,130 nm,2400 MHz,12.0x,1.5 V,128K / 512K / 0K,89W,Jan-01
Athlon 64 3400+,NewCastle,1-Core,AMD,939,130 nm,2200 MHz,11.0x,1.5 V,128K / 512K / 0K,89W,Apr-04
Athlon 64 3400+,Venice,1-Core,AMD,939,90 nm,2200 MHz,11.0x,1.4 V,128K / 512K / 0K,67W,Jan-01
Athlon 64 3400+,Clawhammer,1-Core,AMD,754,130 nm,2200 MHz,11.0x,1.5 V,128K / 1024K / 0K,89W,Jan-04
Athlon 64 3400+,NewCastle,1-Core,AMD,754,130 nm,2400 MHz,12.0x,1.5 V,128K / 512K / 0K,89W,Apr-04
Athlon 64 3400+,Venice,1-Core,AMD,754,90 nm,2400 MHz,12.0x,1.4 V,128K / 512K / 0K,67W,Jan-01
Athlon 64 3500+,San Diego,1-Core,AMD,939,90 nm,2200 MHz,11.0x,1.4 V,128K / 512K / 0K,67W,Jan-01
Athlon 64 3500+,Manchester,1-Core,AMD,939,90 nm,2200 MHz,11.0x,1.35 V,128K / 512K / 0K,67W,May-05
Athlon 64 3500+,Venice,1-Core,AMD,939,90 nm,2200 MHz,11.0x,1.4 V,128K / 512K / 0K,67W,Apr-05
Athlon 64 3500+,Winchester,1-Core,AMD,939,90 nm,2200 MHz,11.0x,1.4 V,128K / 512K / 0K,67W,Oct-04
Athlon 64 3500+,NewCastle,1-Core,AMD,939,130 nm,2200 MHz,11.0x,1.5 V,128K / 512K / 0K,89W,Jun-04
Athlon 64 3500+,Windsor,1-Core,AMD,AM2,90 nm,2200 MHz,11.0x,1.4 V,128K / 512K / 0K,62W,Feb-07
Athlon 64 3500+,Clawhammer,1-Core,AMD,939,130 nm,2200 MHz,11.0x,1.5 V,128K / 512K / 0K,89W,Jun-04
Athlon 64 3500+,Lima,1-Core,AMD,AM2,65 nm,2200 MHz,11.0x,1.35 V,128K / 512K / 0K,45W,Feb-07
Athlon 64 3500+,Orleans,1-Core,AMD,AM2,90 nm,2200 MHz,11.0x,1.4 V,128K / 512K / 0K,62W,May-06
Athlon 64 3500+ EE,Orleans,1-Core,AMD,AM2,90 nm,2200 MHz,11.0x,1.25 V,128K / 512K / 0K,35W,Feb-07
Athlon 64 3700+,San Diego,1-Core,AMD,939,90 nm,2200 MHz,11.0x,1.4 V,128K / 1024K / 0K,89W,May-04
Athlon 64 3700+,Toledo,1-Core,AMD,939,90 nm,2200 MHz,11.0x,1.35 V,128K / 1024K / 0K,89W,Jan-01
Athlon 64 3700+,Clawhammer,1-Core,AMD,754,130 nm,2400 MHz,12.0x,1.5 V,128K / 1024K / 0K,89W,Jun-04
Athlon 64 3800+,Venice,1-Core,AMD,939,90 nm,2400 MHz,12.0x,1.4 V,128K / 512K / 0K,89W,Apr-05
Athlon 64 3800+,NewCastle,1-Core,AMD,939,130 nm,2400 MHz,12.0x,1.5 V,128K / 512K / 0K,89W,Jun-04
Athlon 64 3800+,Windsor,1-Core,AMD,AM2,90 nm,2400 MHz,12.0x,1.4 V,128K / 512K / 0K,62W,Feb-07
Athlon 64 3800+,Lima,1-Core,AMD,AM2,65 nm,2400 MHz,12.0x,1.4 V,128K / 512K / 0K,45W,Feb-07
Athlon 64 3800+,Orleans,1-Core,AMD,AM2,90 nm,2400 MHz,12.0x,1.4 V,128K / 512K / 0K,62W,May-06
Athlon 64 4000+,San Diego,1-Core,AMD,939,90 nm,2400 MHz,12.0x,1.4 V,128K / 1024K / 0K,89W,Oct-04
Athlon 64 4000+,Clawhammer,1-Core,AMD,939,130 nm,2400 MHz,12.0x,1.5 V,128K / 1024K / 0K,89W,Oct-04
Athlon 64 4000+,Toledo,1-Core,AMD,939,90 nm,2400 MHz,12.0x,1.35 V,128K / 1024K / 0K,89W,Jan-01
Athlon 64 4000+,Orleans,1-Core,AMD,AM2,90 nm,2600 MHz,13.0x,1.4 V,128K / 512K / 0K,62W,Feb-07
Athlon 64 4000+,Windsor,1-Core,AMD,AM2,90 nm,2600 MHz,13.0x,1.4 V,128K / 512K / 0K,62W,Feb-07
Athlon 64 FX-51,SledgeHammer,1-Core,AMD,940,130 nm,2200 MHz,11.0x,1.5 V,128K / 1024K / 0K,89W,Sep-03
Athlon 64 FX-53,Clawhammer,1-Core,AMD,939,130 nm,2400 MHz,12.0x,1.5 V,128K / 1024K / 0K,89W,Jun-04
Athlon 64 FX-53,SledgeHammer,1-Core,AMD,940,130 nm,2400 MHz,12.0x,1.5 V,128K / 1024K / 0K,89W,Mar-04
Athlon 64 FX-55,San Diego,1-Core,AMD,939,90 nm,2600 MHz,13.0x,1.4 V,128K / 1024K / 0K,104W,Oct-04
Athlon 64 FX-55,Clawhammer,1-Core,AMD,939,130 nm,2600 MHz,13.0x,1.5 V,128K / 1024K / 0K,104W,Oct-04
Athlon 64 FX-57,San Diego,1-Core,AMD,939,90 nm,2800 MHz,14.0x,1.4 V,128K / 1024K / 0K,104W,Jun-05
Athlon 64 FX-60,Toledo,2-Core,AMD,939,90 nm,2600 MHz,13.0x,1.35 V,128K / 2048K / 0K,110W,Jan-06
Athlon 64 FX-62,Windsor,2-Core,AMD,AM2,90 nm,2800 MHz,14.0x,1.35 V,256K / 1024K / 0K,125W,May-06
Athlon 64 FX-70,Windsor,2-Core,AMD,F,90 nm,2600 MHz,13.0x,1.35 V,128K / 1024K / 0K,125W,Nov-06
Athlon 64 FX-72,Windsor,2-Core,AMD,F,90 nm,2800 MHz,14.0x,1.35 V,128K / 1024K / 0K,125W,Nov-06
Athlon 64 FX-74,Windsor,2-Core,AMD,F,90 nm,3000 MHz,15.0x,1.35 V,128K / 1024K / 0K,125W,Nov-06
Athlon 64 FX-76,Windsor,2-Core,AMD,F,90 nm,3200 MHz,16.0x,1.35 V,128K / 1024K / 0K,125W,Nov-06
Athlon 64 LE-1600,Windsor,1-Core,AMD,AM2,90 nm,2200 MHz,11.0x,1.4 V,128K / 1024K / 0K,45W,Oct-07
Athlon 64 LE-1620,Windsor,1-Core,AMD,AM2,90 nm,2400 MHz,12.0x,1.4 V,128K / 1024K / 0K,45W,Oct-07
Athlon 64 LE-1640,Windsor,1-Core,AMD,AM2,90 nm,2600 MHz,13.0x,1.4 V,128K / 1024K / 0K,45W,Oct-07
Athlon 64 LE-1640,Lima,1-Core,AMD,AM2,65 nm,2700 MHz,13.5x,1.4 V,128K / 512K / 0K,45W,Apr-08
Athlon 64 LE-1660,Lima,1-Core,AMD,AM2,65 nm,2800 MHz,14.0x,1.4 V,128K / 512K / 0K,45W,May-08
Athlon 64 X2 3600+,Brisbane,2-Core,AMD,AM2,65 nm,1900 MHz,9.5x,1.25 V,256K / 512K / 0K,65W,Dec-06
Athlon 64 X2 3600+,Manchester,2-Core,AMD,939,90 nm,2000 MHz,10.0x,1.35 V,128K / 256K / 0K,89W,Jan-01
Athlon 64 X2 3600+ EE,Windsor,2-Core,AMD,AM2,90 nm,2000 MHz,10.0x,1.25 V,256K / 256K / 0K,65W,Aug-06
Athlon 64 X2 3800+,Manchester,2-Core,AMD,939,90 nm,2000 MHz,10.0x,1.35 V,128K / 512K / 0K,89W,Aug-05
Athlon 64 X2 3800+,Windsor,2-Core,AMD,AM2,90 nm,2000 MHz,10.0x,1.35 V,256K / 512K / 0K,89W,May-06
Athlon 64 X2 3800+,Toledo,2-Core,AMD,939,90 nm,2000 MHz,10.0x,1.35 V,128K / 512K / 0K,89W,Aug-05
Athlon 64 X2 3800+ EE,Windsor,2-Core,AMD,AM2,90 nm,2000 MHz,10.0x,1.25 V,256K / 512K / 0K,65W,May-06
Athlon 64 X2 3800+ EE SFF,Windsor,2-Core,AMD,AM2,90 nm,2000 MHz,10.0x,1.075 V,256K / 512K / 0K,35W,May-06
Athlon 64 X2 4000+,Windsor,2-Core,AMD,AM2,90 nm,2000 MHz,10.0x,1.35 V,256K / 1024K / 0K,89W,May-06
Athlon 64 X2 4000+,Brisbane,2-Core,AMD,AM2,65 nm,2100 MHz,10.5x,1.25 V,256K / 512K / 0K,65W,Dec-06
Athlon 64 X2 4000+ EE,Windsor,2-Core,AMD,AM2,90 nm,2000 MHz,10.0x,1.25 V,256K / 1024K / 0K,65W,May-06
Athlon 64 X2 4200+,Manchester,2-Core,AMD,939,90 nm,2200 MHz,11.0x,1.35 V,128K / 512K / 0K,89W,May-06
Athlon 64 X2 4200+,Windsor,2-Core,AMD,AM2,90 nm,2200 MHz,11.0x,1.35 V,256K / 512K / 0K,89W,May-06
Athlon 64 X2 4200+,Toledo,2-Core,AMD,939,90 nm,2200 MHz,11.0x,1.35 V,128K / 512K / 0K,89W,May-06
Athlon 64 X2 4200+,Brisbane,2-Core,AMD,AM2,65 nm,2200 MHz,11.0x,1.25 V,256K / 512K / 0K,65W,Dec-06
Athlon 64 X2 4200+ EE,Windsor,2-Core,AMD,AM2,90 nm,2200 MHz,11.0x,1.25 V,256K / 512K / 0K,65W,May-06
Athlon 64 X2 4400+,Toledo,2-Core,AMD,939,90 nm,2200 MHz,11.0x,1.35 V,128K / 1024K / 0K,110W,May-06
Athlon 64 X2 4400+,Windsor,2-Core,AMD,AM2,90 nm,2200 MHz,11.0x,1.35 V,256K / 1024K / 0K,89W,May-06
Athlon 64 X2 4400+,Brisbane,2-Core,AMD,AM2,65 nm,2300 MHz,11.5x,1.25 V,256K / 512K / 0K,65W,Dec-06
Athlon 64 X2 4400+ EE,Windsor,2-Core,AMD,AM2,90 nm,2200 MHz,11.0x,1.25 V,256K / 1024K / 0K,65W,May-06
Athlon 64 X2 4600+,Manchester,2-Core,AMD,939,90 nm,2400 MHz,12.0x,1.35 V,128K / 512K / 0K,110W,May-06
Athlon 64 X2 4600+,Brisbane,2-Core,AMD,AM2,65 nm,2400 MHz,12.0x,1.325 V,256K / 512K / 0K,65W,Apr-08
Athlon 64 X2 4600+,Windsor,2-Core,AMD,AM2,90 nm,2400 MHz,12.0x,1.35 V,256K / 512K / 0K,89W,May-06
Athlon 64 X2 4600+,Toledo,2-Core,AMD,939,90 nm,2400 MHz,12.0x,1.35 V,128K / 512K / 0K,89W,May-06
Athlon 64 X2 4600+ EE,Windsor,2-Core,AMD,AM2,90 nm,2400 MHz,12.0x,1.25 V,256K / 512K / 0K,65W,May-06
Athlon 64 X2 4800+,Toledo,2-Core,AMD,939,90 nm,2400 MHz,12.0x,1.35 V,128K / 1024K / 0K,110W,May-06
Athlon 64 X2 4800+,Windsor,2-Core,AMD,AM2,90 nm,2400 MHz,12.0x,1.35 V,256K / 1024K / 0K,89W,May-06
Athlon 64 X2 4800+,Brisbane,2-Core,AMD,AM2,65 nm,2500 MHz,12.5x,1.325 V,256K / 512K / 0K,65W,Dec-06
Athlon 64 X2 4800+ EE,Windsor,2-Core,AMD,AM2,90 nm,2400 MHz,12.0x,1.25 V,256K / 1024K / 0K,65W,May-06
Athlon 64 X2 5000+,Windsor,2-Core,AMD,AM2,90 nm,2600 MHz,13.0x,1.35 V,256K / 512K / 0K,89W,May-06
Athlon 64 X2 5000+,Brisbane,2-Core,AMD,AM2,65 nm,2600 MHz,13.0x,1.325 V,256K / 512K / 0K,65W,Dec-06
Athlon 64 X2 5000+ BE,Brisbane,2-Core,AMD,AM2,65 nm,2600 MHz,13.0x,1.325 V,256K / 512K / 0K,65W,Sep-07
Athlon 64 X2 5000+ EE,Windsor,2-Core,AMD,AM2,90 nm,2600 MHz,13.0x,1.25 V,128K / 512K / 0K,65W,Sep-06
Athlon 64 X2 5000+ EE,Windsor,2-Core,AMD,AM2,90 nm,2600 MHz,13.0x,1.25 V,256K / 1024K / 0K,65W,Feb-07
Athlon 64 X2 5200+,Windsor,2-Core,AMD,AM2,90 nm,2600 MHz,13.0x,1.35 V,256K / 1024K / 0K,89W,Sep-06
Athlon 64 X2 5200+,Brisbane,2-Core,AMD,AM2,65 nm,2700 MHz,13.5x,1.25 V,256K / 512K / 0K,65W,Oct-07
Athlon 64 X2 5200+ EE,Windsor,2-Core,AMD,AM2,90 nm,2600 MHz,13.0x,1.25 V,256K / 1024K / 0K,65W,Sep-06
Athlon 64 X2 5400+,Windsor,2-Core,AMD,AM2,90 nm,2800 MHz,14.0x,1.35 V,256K / 512K / 0K,89W,Dec-06
Athlon 64 X2 5400+,Brisbane,2-Core,AMD,AM2,65 nm,2800 MHz,14.0x,1.325 V,256K / 512K / 0K,65W,Jan-08
Athlon 64 X2 5400+ BE,Brisbane,2-Core,AMD,AM2,65 nm,2800 MHz,14.0x,1.325 V,256K / 512K / 0K,65W,Feb-08
Athlon 64 X2 5600+,Windsor,2-Core,AMD,AM2,90 nm,2800 MHz,14.0x,1.35 V,256K / 1024K / 0K,89W,Dec-06
Athlon 64 X2 5600+,Brisbane,2-Core,AMD,AM2,65 nm,2900 MHz,14.5x,1.325 V,256K / 512K / 0K,65W,Feb-08
Athlon 64 X2 5800+,Brisbane,2-Core,AMD,AM2,65 nm,3000 MHz,15.0x,1.4 V,256K / 512K / 0K,89W,Apr-08
Athlon 64 X2 6000+,Windsor,2-Core,AMD,AM2,90 nm,3000 MHz,15.0x,1.35 V,256K / 1024K / 0K,125W,Feb-07
Athlon 64 X2 6000+,Brisbane,2-Core,AMD,AM2,65 nm,3100 MHz,15.5x,1.4 V,256K / 512K / 0K,89W,Aug-07
Athlon 64 X2 6400+ BE,Windsor,2-Core,AMD,AM2,90 nm,3200 MHz,16.0x,1.35 V,256K / 1024K / 0K,125W,Aug-07
Athlon 650,Thunderbird,1-Core,AMD,A,180 nm,650 MHz,6.5x,1.75 V,128K / 256K / 0K,38W,Jun-00
Athlon 700,Thunderbird,1-Core,AMD,A,180 nm,700 MHz,7.0x,1.75 V,128K / 256K / 0K,40W,Jun-00
Athlon 750,Thunderbird,1-Core,AMD,A,180 nm,750 MHz,7.5x,1.75 V,128K / 256K / 0K,43W,Jun-00
Athlon 800,Thunderbird,1-Core,AMD,A,180 nm,800 MHz,8.0x,1.75 V,128K / 256K / 0K,45W,Jun-00
Athlon 850,Thunderbird,1-Core,AMD,A,180 nm,850 MHz,8.5x,1.75 V,128K / 256K / 0K,47W,Jun-00
Athlon 900,Thunderbird,1-Core,AMD,A,180 nm,900 MHz,9.0x,1.75 V,128K / 256K / 0K,50W,Jun-00
Athlon 950,Thunderbird,1-Core,AMD,A,180 nm,950 MHz,9.5x,1.75 V,128K / 256K / 0K,52W,Jun-00
Athlon II X2 210e,Regor,2-Core,AMD,AM3,45 nm,2600 MHz,13.0x,1.15 V,128K / 512K / 0K,45W,Sep-10
Athlon II X2 215,Regor,2-Core,AMD,AM3,45 nm,2700 MHz,13.5x,1.15 V,128K / 512K / 0K,65W,Oct-09
Athlon II X2 220,Regor,2-Core,AMD,AM3,45 nm,2800 MHz,14.0x,1.15 V,128K / 512K / 0K,65W,Sep-10
Athlon II X2 235e,Regor,2-Core,AMD,AM3,45 nm,2700 MHz,13.5x,1.15 V,128K / 1024K / 0K,45W,Oct-09
Athlon II X2 240,Regor,2-Core,AMD,AM3,45 nm,2800 MHz,14.0x,1.25 V,256K / 2048K / 0K,65W,Jul-09
Athlon II X2 240e,Regor,2-Core,AMD,AM3,45 nm,2800 MHz,14.0x,1.15 V,128K / 1024K / 0K,45W,Oct-09
Athlon II X2 245,Regor,2-Core,AMD,AM3,45 nm,2900 MHz,14.5x,1.25 V,256K / 2048K / 0K,65W,Jul-09
Athlon II X2 245e,Regor,2-Core,AMD,AM3,45 nm,2900 MHz,14.5x,1.15 V,128K / 1024K / 0K,45W,May-10
Athlon II X2 250,Regor,2-Core,AMD,AM3,45 nm,3000 MHz,15.0x,1.25 V,256K / 2048K / 0K,65W,Jun-09
Athlon II X2 250e,Regor,2-Core,AMD,AM3,45 nm,3000 MHz,15.0x,1.15 V,128K / 1024K / 0K,45W,Sep-10
Athlon II X2 250u,Regor,2-Core,AMD,AM3,45 nm,1600 MHz,8.0x,1.05 V,128K / 1024K / 0K,25W,Oct-09
Athlon II X2 255,Regor,2-Core,AMD,AM3,45 nm,3100 MHz,15.5x,1.15 V,128K / 1024K / 0K,65W,Jan-10
Athlon II X2 260,Regor,2-Core,AMD,AM3,45 nm,3200 MHz,16.0x,1.15 V,128K / 1024K / 0K,65W,May-10
Athlon II X2 260u,Regor,2-Core,AMD,AM3,45 nm,1800 MHz,9.0x,1.05 V,128K / 1024K / 0K,25W,Oct-09
Athlon II X2 265,Regor,2-Core,AMD,AM3,45 nm,3300 MHz,16.5x,1.15 V,128K / 1024K / 0K,65W,Sep-10
Athlon II X2 270,Regor,2-Core,AMD,AM3,45 nm,3400 MHz,17.0x,1.15 V,128K / 1024K / 0K,65W,Jul-11
Athlon II X2 270u,Regor,2-Core,AMD,AM3,45 nm,2000 MHz,10.0x,1.05 V,128K / 1024K / 0K,25W,Sep-10
Athlon II X2 280,Regor,2-Core,AMD,AM3,45 nm,3600 MHz,18.0x,1.15 V,128K / 1024K / 0K,65W,Feb-13
Athlon II X3 400e,Rana,3-Core,AMD,AM3,45 nm,2200 MHz,11.0x,1.25 V,128K / 512K / 0K,45W,Oct-09
Athlon II X3 405e,Rana,3-Core,AMD,AM3,45 nm,2300 MHz,11.5x,1.25 V,128K / 512K / 0K,45W,Oct-09
Athlon II X3 415e,Rana,3-Core,AMD,AM3,45 nm,2500 MHz,12.5x,1.25 V,128K / 512K / 0K,45W,May-10
Athlon II X3 420e,Rana,3-Core,AMD,AM3,45 nm,2600 MHz,13.0x,1.25 V,128K / 512K / 0K,45W,Sep-10
Athlon II X3 425,Rana,3-Core,AMD,AM3,45 nm,2700 MHz,13.5x,1.425 V,128K / 512K / 0K,95W,Oct-09
Athlon II X3 425e,Rana,3-Core,AMD,AM3,45 nm,2700 MHz,13.5x,1.25 V,128K / 512K / 0K,45W,May-11
